908,HOSPITAL NACIONAL PROFESOR ALEJANDRO POSADAS
909,COLONIA NACIONAL DR. MANUEL A. MONTES DE OCA
910,INSTITUTO NACIONAL DE REHABILITACION PSICOFISICA DEL SUR DR. JUAN OTIMIO TESONE
914,SUPERINTENDENCIA DE SERVICIOS DE SALUD
915,INSTITUTO NACIONAL DEL CNCER (INC)
916,AGENCIA NACIONAL DE LABORATORIOS PBLICOS (ANLAP)
0,MINISTERIO DE AMBIENTE Y DESARROLLO SUSTENTABLE
107,ADMINISTRACION DE PARQUES NACIONALES
0,MINISTERIO DE DESARROLLO SOCIAL
114,INSTITUTO NACIONAL DE ASOCIATIVISMO Y ECONOMIA SOCIAL (INAES)
918,INSTITUTO NACIONAL DE LAS MUJERES (INAM)
0,OBLIGACIONES A CARGO DEL TESORO
0,PODER LEGISLATIVO NACIONAL
1,AUDITORIA GENERAL DE LA NACION
0,PODER JUDICIAL DE LA NACION
0,MINISTERIO PBLICO
107,ADMINISTRACION DE PARQUES NACIONALES
109,SINDICATURA GENERAL DE LA NACION
112,AUTORIDAD REGULATORIA NUCLEAR
119,INSTITUTO NACIONAL DE PROMOCION TURISTICA
120,AGENCIA DE DEPORTE NACIONAL
917,AGENCIA NACIONAL DE DISCAPACIDAD
0,SECRETARIA GENERAL
0,SECRETARIA LEGAL Y TECNICA
0,SECRETARIA DE GOBIERNO DE AMBIENTE Y DESARROLLO SUSTENTABLE
0,SECRETARIA DE GOBIERNO DE TURISMO
0,AGENCIA FEDERAL DE INTELIGENCIA
0,SECRETARIA DE POLITICAS INTEGRALES SOBRE DROGAS DE LA NACION ARGENTINA (SEDRONAR)
0,CONSEJO NACIONAL DE COORDINACION DE POLITICAS SOCIALES
205,AGENCIA DE ADMINISTRACION DE BIENES DEL ESTADO
207,ENTE NACIONAL DE COMUNICACIONES
209,AGENCIA DE ACCESO A LA INFORMACION PUBLICA
0,JEFATURA DE GABINETE DE MINISTROS
0,SECRETARIA DE GOBIERNO DE MODERNIZACION
108,INSTITUTO NACIONAL DEL AGUA
200,REGISTRO NACIONAL DE LAS PERSONAS
